Num.,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
0,Tre Clemons,9,1,0,1,0,3,0,4,3,4,5,80.0%,0,0,,4,5,80.0%,1,4,25.0%,4.4,N/A,6/6,3,Claflin,,10/28/2023
1,Anthony Franchi,2,2,5,7,0,0,1,2,1,1,3,33.3%,0,2,0.0%,1,5,20.0%,0,0,,1.5,N/A,5/8,1,Claflin,,10/28/2023
2,Drew Moore,1,1,0,1,0,1,0,1,0,0,3,0.0%,0,1,0.0%,0,4,0.0%,1,2,50.0%,-2.9,N/A,,0,Claflin,,10/28/2023
3,Trian Barnes,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,N/A,,0,Claflin,,10/28/2023
4,JJ Sciba,9,1,1,2,0,1,2,3,1,1,1,100.0%,2,4,50.0%,3,5,60.0%,1,4,25.0%,5.5,N/A,3/5,2,Claflin,,10/28/2023
5,Jourdan Watkins,13,1,8,9,1,0,2,4,3,5,7,71.4%,0,3,0.0%,5,10,50.0%,3,4,75.0%,11.8,N/A,3/7,0,Claflin,,10/28/2023
7,Trevor Kelly,9,0,3,3,0,0,0,1,0,0,0,,2,4,50.0%,2,4,50.0%,3,4,75.0%,6.5,N/A,0/2,1,Claflin,,10/28/2023
8,Sos Igbnigie,9,1,2,3,0,1,1,4,1,1,1,100.0%,2,4,50.0%,3,5,60.0%,1,1,100.0%,5.3,N/A,4/6,1,Claflin,,10/28/2023
11,Tyler Druskis,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,N/A,,0,Claflin,,10/28/2023
12,Tevin Jessup,0,0,1,1,0,0,1,1,1,0,2,0.0%,0,0,,0,2,0.0%,0,0,,-0.4,N/A,2/4,0,Claflin,,10/28/2023
